"","date","hour","day","month","count","year"
"148",2012-12-07,"3","Friday","Dec",2,"2012"
"149",2012-12-07,"4","Friday","Dec",2,"2012"
"150",2012-12-07,"5","Friday","Dec",1,"2012"
"151",2012-12-07,"6","Friday","Dec",0,"2012"
"152",2012-12-07,"7","Friday","Dec",2,"2012"
"153",2012-12-07,"8","Friday","Dec",2,"2012"
"154",2012-12-07,"9","Friday","Dec",6,"2012"
"155",2012-12-07,"10","Friday","Dec",4,"2012"
"156",2012-12-07,"11","Friday","Dec",4,"2012"
"157",2012-12-07,"12","Friday","Dec",12,"2012"
"158",2012-12-07,"13","Friday","Dec",5,"2012"
"159",2012-12-07,"14","Friday","Dec",8,"2012"
"160",2012-12-07,"15","Friday","Dec",4,"2012"
"161",2012-12-07,"16","Friday","Dec",13,"2012"
"162",2012-12-07,"17","Friday","Dec",11,"2012"
"163",2012-12-07,"18","Friday","Dec",5,"2012"
"164",2012-12-07,"19","Friday","Dec",6,"2012"
"165",2012-12-07,"20","Friday","Dec",5,"2012"
"166",2012-12-07,"21","Friday","Dec",3,"2012"
"167",2012-12-07,"22","Friday","Dec",8,"2012"
"168",2012-12-07,"23","Friday","Dec",8,"2012"
"169",2012-12-08,"0","Saturday","Dec",4,"2012"
"170",2012-12-08,"1","Saturday","Dec",5,"2012"
"171",2012-12-08,"2","Saturday","Dec",2,"2012"
"172",2012-12-08,"3","Saturday","Dec",3,"2012"
"173",2012-12-08,"4","Saturday","Dec",0,"2012"
"174",2012-12-08,"5","Saturday","Dec",2,"2012"
"175",2012-12-08,"6","Saturday","Dec",0,"2012"
"176",2012-12-08,"7","Saturday","Dec",1,"2012"
"177",2012-12-08,"8","Saturday","Dec",5,"2012"
"178",2012-12-08,"9","Saturday","Dec",4,"2012"
"179",2012-12-08,"10","Saturday","Dec",7,"2012"
"180",2012-12-08,"11","Saturday","Dec",6,"2012"
"181",2012-12-08,"12","Saturday","Dec",6,"2012"
"182",2012-12-08,"13","Saturday","Dec",6,"2012"
"183",2012-12-08,"14","Saturday","Dec",6,"2012"
"184",2012-12-08,"15","Saturday","Dec",8,"2012"
"185",2012-12-08,"16","Saturday","Dec",8,"2012"
"186",2012-12-08,"17","Saturday","Dec",6,"2012"
"187",2012-12-08,"18","Saturday","Dec",8,"2012"
"188",2012-12-08,"19","Saturday","Dec",6,"2012"
"189",2012-12-08,"20","Saturday","Dec",5,"2012"
"190",2012-12-08,"21","Saturday","Dec",3,"2012"
"191",2012-12-08,"22","Saturday","Dec",3,"2012"
"192",2012-12-08,"23","Saturday","Dec",6,"2012"
"193",2012-12-09,"0","Sunday","Dec",2,"2012"
"194",2012-12-09,"1","Sunday","Dec",2,"2012"
"195",2012-12-09,"2","Sunday","Dec",3,"2012"
"196",2012-12-09,"3","Sunday","Dec",2,"2012"
"197",2012-12-09,"4","Sunday","Dec",1,"2012"
"198",2012-12-09,"5","Sunday","Dec",1,"2012"
"199",2012-12-09,"6","Sunday","Dec",1,"2012"
"200",2012-12-09,"7","Sunday","Dec",2,"2012"
"201",2012-12-09,"8","Sunday","Dec",3,"2012"
"202",2012-12-09,"9","Sunday","Dec",3,"2012"
"203",2012-12-09,"10","Sunday","Dec",5,"2012"
"204",2012-12-09,"11","Sunday","Dec",4,"2012"
"205",2012-12-09,"12","Sunday","Dec",7,"2012"
"206",2012-12-09,"13","Sunday","Dec",5,"2012"
"207",2012-12-09,"14","Sunday","Dec",6,"2012"
"208",2012-12-09,"15","Sunday","Dec",4,"2012"
"209",2012-12-09,"16","Sunday","Dec",9,"2012"
"210",2012-12-09,"17","Sunday","Dec",7,"2012"
"211",2012-12-09,"18","Sunday","Dec",6,"2012"
"212",2012-12-09,"19","Sunday","Dec",10,"2012"
"213",2012-12-09,"20","Sunday","Dec",12,"2012"
"214",2012-12-09,"21","Sunday","Dec",11,"2012"
"215",2012-12-09,"22","Sunday","Dec",3,"2012"
"216",2012-12-09,"23","Sunday","Dec",6,"2012"
"217",2012-12-10,"0","Monday","Dec",2,"2012"
"218",2012-12-10,"1","Monday","Dec",2,"2012"
"219",2012-12-10,"2","Monday","Dec",3,"2012"
"220",2012-12-10,"3","Monday","Dec",4,"2012"
"221",2012-12-10,"4","Monday","Dec",0,"2012"
"222",2012-12-10,"5","Monday","Dec",2,"2012"
"223",2012-12-10,"6","Monday","Dec",0,"2012"
"224",2012-12-10,"7","Monday","Dec",5,"2012"
"225",2012-12-10,"8","Monday","Dec",2,"2012"
"226",2012-12-10,"9","Monday","Dec",4,"2012"
"227",2012-12-10,"10","Monday","Dec",7,"2012"
"228",2012-12-10,"11","Monday","Dec",8,"2012"
"229",2012-12-10,"12","Monday","Dec",6,"2012"
"230",2012-12-10,"13","Monday","Dec",8,"2012"
"231",2012-12-10,"14","Monday","Dec",6,"2012"
"232",2012-12-10,"15","Monday","Dec",8,"2012"
"233",2012-12-10,"16","Monday","Dec",14,"2012"
"234",2012-12-10,"17","Monday","Dec",3,"2012"
"235",2012-12-10,"18","Monday","Dec",5,"2012"
"236",2012-12-10,"19","Monday","Dec",6,"2012"
"237",2012-12-10,"20","Monday","Dec",5,"2012"
"238",2012-12-10,"21","Monday","Dec",13,"2012"
"239",2012-12-10,"22","Monday","Dec",3,"2012"
"240",2012-12-10,"23","Monday","Dec",5,"2012"
"241",2012-12-11,"0","Tuesday","Dec",4,"2012"
"242",2012-12-11,"1","Tuesday","Dec",2,"2012"
"243",2012-12-11,"2","Tuesday","Dec",3,"2012"
"244",2012-12-11,"3","Tuesday","Dec",0,"2012"
"245",2012-12-11,"4","Tuesday","Dec",0,"2012"
"246",2012-12-11,"5","Tuesday","Dec",2,"2012"
"247",2012-12-11,"6","Tuesday","Dec",1,"2012"
"248",2012-12-11,"7","Tuesday","Dec",3,"2012"
"249",2012-12-11,"8","Tuesday","Dec",5,"2012"
"250",2012-12-11,"9","Tuesday","Dec",9,"2012"
"251",2012-12-11,"10","Tuesday","Dec",9,"2012"
"252",2012-12-11,"11","Tuesday","Dec",8,"2012"
"253",2012-12-11,"12","Tuesday","Dec",3,"2012"
"254",2012-12-11,"13","Tuesday","Dec",7,"2012"
"255",2012-12-11,"14","Tuesday","Dec",3,"2012"
"256",2012-12-11,"15","Tuesday","Dec",12,"2012"
"257",2012-12-11,"16","Tuesday","Dec",3,"2012"
"258",2012-12-11,"17","Tuesday","Dec",8,"2012"
"259",2012-12-11,"18","Tuesday","Dec",7,"2012"
"260",2012-12-11,"19","Tuesday","Dec",5,"2012"
"261",2012-12-11,"20","Tuesday","Dec",8,"2012"
"262",2012-12-11,"21","Tuesday","Dec",6,"2012"
"263",2012-12-11,"22","Tuesday","Dec",5,"2012"
"264",2012-12-11,"23","Tuesday","Dec",2,"2012"
"265",2012-12-12,"0","Wednesday","Dec",3,"2012"
"266",2012-12-12,"1","Wednesday","Dec",3,"2012"
"267",2012-12-12,"2","Wednesday","Dec",2,"2012"
"268",2012-12-12,"3","Wednesday","Dec",2,"2012"
"269",2012-12-12,"4","Wednesday","Dec",1,"2012"
"270",2012-12-12,"5","Wednesday","Dec",2,"2012"
"271",2012-12-12,"6","Wednesday","Dec",1,"2012"
"272",2012-12-12,"7","Wednesday","Dec",4,"2012"
"273",2012-12-12,"8","Wednesday","Dec",2,"2012"
"274",2012-12-12,"9","Wednesday","Dec",6,"2012"
"275",2012-12-12,"10","Wednesday","Dec",5,"2012"
"276",2012-12-12,"11","Wednesday","Dec",6,"2012"
"277",2012-12-12,"12","Wednesday","Dec",7,"2012"
"278",2012-12-12,"13","Wednesday","Dec",5,"2012"
"279",2012-12-12,"14","Wednesday","Dec",4,"2012"
"280",2012-12-12,"15","Wednesday","Dec",4,"2012"
"281",2012-12-12,"16","Wednesday","Dec",7,"2012"
"282",2012-12-12,"17","Wednesday","Dec",5,"2012"
"283",2012-12-12,"18","Wednesday","Dec",8,"2012"
"284",2012-12-12,"19","Wednesday","Dec",6,"2012"
"285",2012-12-12,"20","Wednesday","Dec",3,"2012"
"286",2012-12-12,"21","Wednesday","Dec",13,"2012"
"287",2012-12-12,"22","Wednesday","Dec",5,"2012"
"288",2012-12-12,"23","Wednesday","Dec",3,"2012"
"289",2012-12-13,"0","Thursday","Dec",4,"2012"
"290",2012-12-13,"1","Thursday","Dec",2,"2012"
"291",2012-12-13,"2","Thursday","Dec",0,"2012"
"292",2012-12-13,"3","Thursday","Dec",3,"2012"
"293",2012-12-13,"4","Thursday","Dec",1,"2012"
"294",2012-12-13,"5","Thursday","Dec",1,"2012"
"295",2012-12-13,"6","Thursday","Dec",1,"2012"
"296",2012-12-13,"7","Thursday","Dec",1,"2012"
"297",2012-12-13,"8","Thursday","Dec",5,"2012"
"298",2012-12-13,"9","Thursday","Dec",6,"2012"
"299",2012-12-13,"10","Thursday","Dec",4,"2012"
"300",2012-12-13,"11","Thursday","Dec",7,"2012"
"301",2012-12-13,"12","Thursday","Dec",10,"2012"
"302",2012-12-13,"13","Thursday","Dec",5,"2012"
"303",2012-12-13,"14","Thursday","Dec",2,"2012"
"304",2012-12-13,"15","Thursday","Dec",3,"2012"
"305",2012-12-13,"16","Thursday","Dec",6,"2012"
"306",2012-12-13,"17","Thursday","Dec",9,"2012"
"307",2012-12-13,"18","Thursday","Dec",2,"2012"
"308",2012-12-13,"19","Thursday","Dec",7,"2012"
"309",2012-12-13,"20","Thursday","Dec",4,"2012"
"310",2012-12-13,"21","Thursday","Dec",5,"2012"
"311",2012-12-13,"22","Thursday","Dec",3,"2012"
"312",2012-12-13,"23","Thursday","Dec",4,"2012"
"313",2012-12-14,"0","Friday","Dec",3,"2012"
"314",2012-12-14,"1","Friday","Dec",1,"2012"
"315",2012-12-14,"2","Friday","Dec",2,"2012"
"316",2012-12-14,"3","Friday","Dec",2,"2012"
"317",2012-12-14,"4","Friday","Dec",0,"2012"
"318",2012-12-14,"5","Friday","Dec",0,"2012"
