"MB2006","UR2006_num","UR2006","DHB_code","DHB_label","Pop2001","Pop2006","Pop2013"
2425600,1,"Urban",17,"West Coast",180,177,171
2425700,1,"Urban",17,"West Coast",102,99,90
2425800,1,"Urban",17,"West Coast",24,24,21
2425900,1,"Urban",17,"West Coast",90,99,102
2426000,1,"Urban",17,"West Coast",147,147,141
2426100,1,"Urban",17,"West Coast",207,207,192
2426200,1,"Urban",17,"West Coast",141,153,123
2426300,1,"Urban",17,"West Coast",123,114,105
2426400,1,"Urban",17,"West Coast",45,48,57
2426501,-3,"Rural",18,"Canterbury",0,0,0
2426502,-3,"Rural",18,"Canterbury",0,0,0
2426601,-3,"Rural",18,"Canterbury",0,0,0
2426602,-3,"Rural",18,"Canterbury",0,0,0
2426700,-2,"Rural",18,"Canterbury",12,15,15
2426801,-2,"Rural",18,"Canterbury",33,45,69
2426802,-3,"Rural",18,"Canterbury",0,0,0
2426900,-2,"Rural",18,"Canterbury",12,30,33
2427002,1,"Urban",18,"Canterbury",63,60,102
2427003,1,"Urban",18,"Canterbury",69,117,114
2427004,1,"Urban",18,"Canterbury",18,6,6
2427005,-3,"Rural",18,"Canterbury",0,0,0
2427006,1,"Urban",18,"Canterbury",18,21,54
2427007,1,"Urban",18,"Canterbury",3,33,72
2427008,-3,"Rural",18,"Canterbury",0,0,0
2427101,1,"Urban",18,"Canterbury",3,18,9
2427102,1,"Urban",18,"Canterbury",96,81,84
2427201,1,"Urban",18,"Canterbury",39,39,48
2427202,1,"Urban",18,"Canterbury",72,87,69
2427203,1,"Urban",18,"Canterbury",93,72,75
2427300,1,"Urban",18,"Canterbury",54,21,36
2427400,1,"Urban",18,"Canterbury",69,57,57
2427500,1,"Urban",18,"Canterbury",72,81,81
2427601,-2,"Rural",18,"Canterbury",39,33,39
2427603,-2,"Rural",18,"Canterbury",9,9,15
2427604,1,"Urban",18,"Canterbury",12,30,39
2427700,-3,"Rural",18,"Canterbury",6,0,0
2427801,-3,"Rural",18,"Canterbury",0,0,0
2427802,-3,"Rural",18,"Canterbury",0,0,0
2427803,-3,"Rural",16,"Nelson Marlborough",0,0,0
2427804,-3,"Rural",18,"Canterbury",0,3,0
2427900,-3,"Rural",18,"Canterbury",15,9,6
2428001,-2,"Rural",18,"Canterbury",42,45,60
2428002,-3,"Rural",18,"Canterbury",63,60,75
2428100,-3,"Rural",18,"Canterbury",90,90,114
2428200,-3,"Rural",18,"Canterbury",39,45,57
2428300,-2,"Rural",18,"Canterbury",15,15,12
2428401,-3,"Rural",16,"Nelson Marlborough",0,0,0
2428402,-3,"Rural",18,"Canterbury",0,3,0
2428500,-3,"Rural",18,"Canterbury",69,120,93
2428600,-3,"Rural",18,"Canterbury",48,45,39
2428700,-3,"Rural",18,"Canterbury",39,42,33
2428801,-3,"Rural",18,"Canterbury",15,12,21
2428802,-2,"Rural",18,"Canterbury",45,48,48
2428900,-3,"Rural",18,"Canterbury",0,0,3
2429000,-3,"Rural",18,"Canterbury",57,57,99
2429101,-3,"Rural",18,"Canterbury",6,6,6
2429102,-3,"Rural",18,"Canterbury",42,42,51
2429200,-2,"Rural",18,"Canterbury",114,123,114
2429301,-3,"Rural",18,"Canterbury",42,42,42
2429302,-2,"Rural",18,"Canterbury",48,42,42
2429400,-3,"Rural",18,"Canterbury",48,48,45
2429500,-2,"Rural",18,"Canterbury",72,63,87
2429600,-3,"Rural",18,"Canterbury",78,63,72
2429700,-2,"Rural",18,"Canterbury",171,204,195
2429801,-3,"Rural",18,"Canterbury",0,3,0
2429802,-3,"Rural",18,"Canterbury",0,12,9
2429900,-3,"Rural",18,"Canterbury",51,39,54
2430000,-3,"Rural",18,"Canterbury",105,120,132
2430101,-3,"Rural",18,"Canterbury",39,48,42
2430103,-3,"Rural",18,"Canterbury",3,6,6
2430104,-3,"Rural",18,"Canterbury",0,0,0
2430201,-2,"Rural",18,"Canterbury",36,39,36
2430202,-3,"Rural",18,"Canterbury",6,15,12
2430203,-3,"Rural",18,"Canterbury",6,6,12
2430300,-2,"Rural",18,"Canterbury",132,180,180
2430400,-3,"Rural",18,"Canterbury",18,24,12
2430500,-3,"Rural",18,"Canterbury",75,87,87
2430600,-3,"Rural",18,"Canterbury",57,60,72
2430701,-2,"Rural",18,"Canterbury",33,33,24
2430702,-2,"Rural",18,"Canterbury",15,9,18
2430800,-3,"Rural",18,"Canterbury",30,33,27
2430901,-3,"Rural",18,"Canterbury",33,48,51
2430902,-2,"Rural",18,"Canterbury",42,33,30
2431000,-2,"Rural",18,"Canterbury",18,18,24
2431100,-3,"Rural",18,"Canterbury",60,63,63
2431200,-3,"Rural",18,"Canterbury",30,36,39
2431300,-3,"Rural",18,"Canterbury",15,24,15
2431400,-3,"Rural",18,"Canterbury",75,66,60
2431500,-3,"Rural",18,"Canterbury",12,12,9
2431600,-3,"Rural",18,"Canterbury",78,81,87
2431700,-3,"Rural",18,"Canterbury",21,12,15
2431801,-3,"Rural",18,"Canterbury",18,18,27
2431802,-3,"Rural",18,"Canterbury",33,36,39
2431900,-3,"Rural",18,"Canterbury",12,18,30
2432000,-3,"Rural",18,"Canterbury",57,48,51
2432101,-3,"Rural",18,"Canterbury",33,30,21
2432102,-3,"Rural",18,"Canterbury",75,81,81
2432200,-3,"Rural",18,"Canterbury",36,45,30
2432301,-3,"Rural",18,"Canterbury",0,0,0
2432302,-3,"Rural",18,"Canterbury",99,93,99
2432402,-2,"Rural",18,"Canterbury",90,102,84
2432403,-3,"Rural",18,"Canterbury",0,0,0
2432404,-3,"Rural",18,"Canterbury",0,0,0
2432500,-3,"Rural",18,"Canterbury",21,12,12
2432603,-2,"Rural",18,"Canterbury",27,27,21
2432604,-3,"Rural",18,"Canterbury",0,6,0
2432605,-3,"Rural",18,"Canterbury",21,30,36
2432606,-3,"Rural",18,"Canterbury",60,60,54
2432607,-3,"Rural",18,"Canterbury",27,21,21
2432701,-3,"Rural",18,"Canterbury",15,15,9
2432702,-3,"Rural",18,"Canterbury",36,33,30
2432802,-2,"Rural",18,"Canterbury",57,54,69
2432803,-3,"Rural",18,"Canterbury",9,12,12
2432804,-2,"Rural",18,"Canterbury",24,24,24
2432805,-3,"Rural",18,"Canterbury",0,0,0
2432900,-3,"Rural",18,"Canterbury",48,48,42
2433001,-3,"Rural",18,"Canterbury",0,3,0
2433002,-3,"Rural",18,"Canterbury",30,27,45
2433101,-3,"Rural",18,"Canterbury",15,15,21
2433102,-3,"Rural",18,"Canterbury",45,33,36
2433201,-3,"Rural",18,"Canterbury",3,3,3
2433202,-2,"Rural",18,"Canterbury",57,54,60
2433301,-3,"Rural",18,"Canterbury",12,12,9
2433302,NA,NA,18,"Canterbury",0,0,0
2433400,-3,"Rural",18,"Canterbury",12,0,6
2433500,-3,"Rural",18,"Canterbury",72,84,84
2433600,-3,"Rural",18,"Canterbury",93,93,117
2433700,-3,"Rural",18,"Canterbury",63,72,63
2433800,-2,"Rural",18,"Canterbury",39,27,33
2433901,-3,"Rural",18,"Canterbury",63,63,48
2433902,-3,"Rural",18,"Canterbury",3,3,3
2434001,-3,"Rural",18,"Canterbury",30,36,33
2434002,-3,"Rural",18,"Canterbury",96,75,84
2434100,-3,"Rural",18,"Canterbury",9,21,12
2434200,-2,"Rural",18,"Canterbury",78,90,63
2434301,-3,"Rural",18,"Canterbury",30,42,36
2434302,-2,"Rural",18,"Canterbury",18,15,27
2434401,-3,"Rural",18,"Canterbury",15,6,6
2434402,-2,"Rural",18,"Canterbury",27,30,33
2434501,-3,"Rural",18,"Canterbury",42,36,48
2434502,-3,"Rural",18,"Canterbury",51,66,78
2434503,-2,"Rural",18,"Canterbury",21,15,15
2434504,-3,"Rural",18,"Canterbury",12,18,15
2434600,-3,"Rural",18,"Canterbury",27,24,42
2434701,-3,"Rural",18,"Canterbury",48,42,51
2434702,-3,"Rural",18,"Canterbury",30,18,18
2434800,-2,"Rural",18,"Canterbury",48,60,45
2434900,-2,"Rural",18,"Canterbury",33,30,33
2435001,-2,"Rural",18,"Canterbury",57,54,57
2435002,-3,"Rural",18,"Canterbury",33,27,12
2435003,-2,"Rural",18,"Canterbury",39,33,15
2435100,-3,"Rural",18,"Canterbury",6,9,6
2435200,-3,"Rural",18,"Canterbury",0,0,0
2435301,-2,"Rural",18,"Canterbury",57,66,90
2435302,-1,"Rural",18,"Canterbury",3,6,3
2435401,-3,"Rural",18,"Canterbury",39,42,42
2435402,-3,"Rural",18,"Canterbury",3,3,3
2435500,-2,"Rural",18,"Canterbury",18,21,27
2435601,-2,"Rural",18,"Canterbury",9,6,12
2435602,-2,"Rural",18,"Canterbury",21,9,12
2435701,-1,"Rural",18,"Canterbury",6,15,21
